id,numero,data_ajuizamento,id_classe,id_assuntos
405277955,00001405820176070091,2017-09-10,{12553},"{11778}"
405277960,00000728720176070001,2017-06-05,{12549},"{11778}"
405277966,06000979320206070050,2020-06-07,{12553},"{11778}"
405277967,00001256820176070001,2017-10-31,{12549},"{11778}"
405277969,00000312120166070013,2017-08-24,{279},"{11778}"
405277970,06000605820216070009,2021-10-06,{12560},"{11778}"
405277971,06001037420216070015,2021-09-13,{355},"{11778}"
405277973,00000917220176070008,2017-10-26,{12549},"{11778}"
405277984,00000391320176070999,2017-03-21,{12559},"{11778}"
405277986,06000079620206070014,2020-01-23,{355},"{11778}"
405277992,06000360620216070017,2021-02-10,{12553},"{11778}"
405277995,00000972420176070091,2017-08-17,{12559},"{11778}"
405277996,06000997620216070002,2021-12-09,{355},"{11778}"
405277997,00000114920196070005,2019-02-08,{12549},"{11778}"
405278003,00000984920176070013,2017-08-29,{12549},"{11778}"
405278005,00000410620186070010,2018-12-17,{12562},"{11778}"
405278007,06000105420206070013,2020-05-28,{12560},"{11778}"
405278008,00000476120186070091,2018-04-22,{12553},"{11778}"
405278013,00000358120176070091,2017-08-10,{12559},"{11778}"
405278016,06001190720206070001,2020-10-06,{261},"{11778}"
405278019,06000594620216070018,2021-10-18,{355},"{11778}"
405278020,06000974620206070001,2020-08-14,{279},"{11778}"
405278021,00002833920176070999,2017-07-28,{12559},"{11778}"
405278027,00001039420186070091,2018-05-23,{12553},"{11778}"
405278031,00000781820176070091,2017-08-16,{12559},"{11778}"
405278042,00000671620186070006,2018-11-06,{12549},"{11778}"
405278054,00001131820176070013,2017-11-08,{12549},"{11778}"
405278065,00000184520176070091,2017-08-09,{12559},"{11778}"
405278066,06006323620216000000,2021-12-09,{12552},"{11778}"
405278169,00000021120156070011,2015-02-06,{355},"{11778}"
405278184,06001771320206070000,2020-11-26,{261},"{11778}"
405278192,00000972120176070092,2017-12-04,{12559},"{11778}"
405278197,00001751020176070999,2017-06-08,{12559},"{11778}"
405278199,00001681820176070999,2017-06-08,{12559},"{11778}"
405278206,06000519620216070009,2021-09-15,{12560},"{11778}"
405278208,00000599120186070021,2018-11-28,{261},"{11778}"
405278215,00000036420186070019,2018-01-24,{12549},"{11778}"
405278261,00002161620176070016,2017-12-15,{12549},"{11778}"
405278264,06000288720206070009,2020-02-18,{241},"{11778}"
405278265,00000733620176070013,2017-07-05,{12549},"{11778}"
405278313,00000718120176070008,2017-08-22,{12549},"{11778}"
405278317,00001024620176070091,2017-08-17,{12559},"{11778}"
405278321,00000149320186070019,2018-04-26,{12553},"{11778}"
405278323,00001231920176070092,2017-12-22,{12559},"{11778}"
405278324,00000470620196070001,2019-03-18,{272},"{11778}"
405278326,00000603120176070015,2017-12-15,{261},"{11778}"
405278327,00001275120176070999,2017-05-24,{12559},"{11778}"
405278333,00001318820176070999,2017-05-24,{12559},"{11778}"
405278334,00001474720176070092,2017-12-28,{12559},"{11778}"
405278335,00000549020186070014,2018-09-10,{12549},"{11778}"
405278343,00000274320186070003,2018-06-12,{12549},"{11778}"
405278347,00001197420176070999,2017-05-19,{12559},"{11778}"
405278350,00000567920176070019,2017-09-26,{12553},"{11778}"
405278353,06000019820206070011,2020-02-26,{12559},"{11778}"
405278356,00000283220176070013,2017-04-27,{12549},"{11778}"
405278359,00000084020186070002,2018-11-08,{11528},"{11778}"
405278360,00000925720176070008,2017-10-27,{12549},"{11778}"
405278361,00000012820176070020,2017-02-03,{355},"{11778}"
405278364,00000087920196070010,2019-02-28,{12549},"{11778}"
405278375,06000383420206070009,2020-02-28,{241},"{11778}"
405278390,00000012420186070010,2018-01-10,{12549},"{11778}"
405278393,00000062820186070016,2018-03-16,{355},"{11778}"
405278419,00003162920176070999,2017-08-02,{12559},"{11778}"
405278426,00000799720176070092,2017-10-27,{12559},"{11778}"
405278427,00000447020186070006,2018-06-05,{355},"{11778}"
405278440,00003076720176070999,2017-08-02,{12559},"{11778}"
405278445,00000706820186070006,2018-11-16,{272},"{11513}"
405278451,00000550520186070005,2018-08-16,{12559},"{11778}"
405278454,00000282920176070014,2017-04-24,{12549},"{11778}"
405278455,06000299020206070003,2020-11-25,{355},"{11778}"
405278456,00000494720186070021,2018-09-18,{355},"{11778}"
405278457,00000747520176070092,2017-10-18,{12559},"{11778}"
405278458,00000590920176070092,2017-10-18,{12559},"{11778}"
405278466,00000011420156070015,2014-11-28,{261},"{11778}"
405278511,00000058020176070015,2017-02-17,{355},"{11778}"
405278512,06000415920206070018,2020-04-02,{279},"{11778}"
405278530,06000540720196070014,2019-11-20,{11541},"{11778}"
405278534,00000601620176070020,2017-07-05,{12549},"{11778}"
405278539,06000015320196070005,2019-08-27,{12554},"{11778}"
405278540,00000431620176070008,2017-06-12,{12549},"{11778}"
405278543,06000880220216070017,2021-09-15,{12560},"{11778}"
405278547,00000235920176070999,2017-03-10,{12559},"{11778}"
405278561,00000480520176070019,2017-08-03,{12549},"{11778}"
405278573,00001722920186070091,2018-06-12,{12553},"{11778}"
405278591,00000272620176070020,2017-04-26,{12549},"{11778}"
405278622,00000577220186070005,2018-08-21,{12559},"{11778}"
405278635,00000174420196070009,2019-04-09,{272},"{3572}"
405278696,06000565220206070010,2020-04-13,{241},"{11778}"
405278714,00000040920196070021,2019-01-23,{12549},"{11778}"
405278733,00001803220176070999,2017-06-08,{12559},"{11778}"
405278741,06000853520206070000,2020-07-09,{12377},"{11778}"
405278787,00000024620176070009,2017-02-07,{261},"{11778}"
405278795,00001431020176070092,2017-12-28,{12559},"{11778}"
405278808,00000480420186070008,2018-06-01,{12549},"{11778}"
405278824,00001376920186070091,2018-06-05,{12553},"{11778}"
405278828,06000254720206070005,2020-09-18,{12554},"{11778}"
405278829,00000383620176070091,2017-08-10,{12559},"{11778}"
405278831,00000840420176070001,2017-07-11,{12552},"{11778}"
405278839,06000210520196070018,2019-12-09,{261},"{11778}"
405278843,06000719520206070050,2020-06-07,{12553},"{11778}"
405278850,06003117420196070000,2019-11-27,{12552},"{11778}"
405278867,00001123120156070004,2015-08-13,{1116},"{11778}"
405278948,00000601320176070021,2017-09-18,{12549},"{11778}"
405279017,06000179220196070009,2019-11-20,{241},"{11778}"
405279133,00000163320176070008,2017-03-17,{12549},"{11778}"
405279175,00000020920186070010,2018-01-18,{12562},"{11778}"
405279176,00000016320196070018,2018-01-07,{12553},"{11778}"
405279196,00002026420186070091,2018-06-26,{12553},"{11778}"
405279200,00000397620176070008,2017-06-01,{12549},"{11778}"
405279201,00000365820176070999,2017-03-21,{12559},"{11778}"
405279202,00000016920196070016,2019-01-09,{12559},"{11778}"
405279210,06000090520206070002,2020-03-12,{12560},"{11778}"
405279211,00000449820176070008,2017-06-13,{12549},"{11778}"
405279214,06000031920216070016,2021-02-11,{355},"{11778}"
405279215,06000334920196070008,2019-12-16,{12559},"{11778}"
405279216,00000646420186070005,2018-09-20,{12559},"{11778}"
405279225,00000678620176070091,2017-08-15,{12559},"{11778}"
405279226,00000519820186070091,2018-04-22,{12553},"{11778}"
405279230,00000425220176070001,2017-04-10,{12549},"{11778}"
405279231,06000088120206070014,2020-02-17,{355},"{11778}"
405279236,00000360920176070013,2017-04-27,{12549},"{11778}"
405279240,00000336620176070009,2017-10-19,{12553},"{11778}"
405279241,00001523820186070091,2018-06-08,{12553},"{11778}"
405279242,06000119320216070016,2021-04-13,{355},"{11778}"
405279289,00000016920186070092,2018-01-04,{12549},"{11778}"
405279317,00001872420176070999,2017-06-14,{12559},"{11778}"
405279345,00001717020176070999,2017-06-08,{12559},"{11778}"
405279370,00000010620176070092,2017-08-08,{12559},"{11778}"
405279460,00000039220176070021,2017-03-06,{12549},"{11778}"
405279496,00001152420176070001,2017-10-09,{12549},"{11778}"
405279506,00000015120186070001,2018-01-17,{261},"{11778}"
405279517,00000536820186070091,2018-04-22,{12553},"{11778}"
405279621,00000404620176070013,2017-04-27,{12549},"{11778}"
405279658,00000037820196070003,2019-02-26,{12562},"{11778}"
405279736,00000135120176070017,2017-05-19,{279},"{11438}"
405279870,00001145720176070092,2017-12-15,{12559},"{11778}"
405279875,06000116620206070004,2020-02-17,{355},"{11778}"
405279878,06000046820206070006,2020-02-07,{355},"{11778}"
405279886,06000929020216070000,2021-07-20,{12377},"{11778}"
405279889,00000750620176070013,2017-07-06,{12549},"{11778}"
405279891,06001511220206070001,2020-12-13,{1727},"{11778}"
405279895,00000282820186070003,2018-06-25,{261},"{11778}"
405279905,00000051920176070003,2017-03-14,{12553},"{11778}"
405279910,00001584520186070091,2018-06-11,{12553},"{11778}"
405279918,00002100920176070016,2017-12-12,{261},"{11778}"
405279920,00001258120176070999,2017-05-24,{12559},"{11778}"
405279975,00000969420176070008,2017-11-23,{12549},"{11778}"
405279993,00000040620186070001,2018-02-06,{12549},"{11778}"
405280016,00000013020186070008,2018-01-22,{12549},"{11778}"
405280161,00000029320196070003,2019-02-08,{12549},"{11778}"
405280321,00000134420186070008,2018-03-05,{279},"{11778}"
405280335,00000106420196070005,2019-02-07,{12559},"{11778}"
405280340,00000016120176070009,2017-02-06,{261},"{11778}"
405280408,06000332220196070017,2019-11-07,{241},"{11778}"
405280475,00000277020196070015,2019-07-17,{12559},"{11778}"
405280488,06000358920196070017,2019-11-28,{241},"{11778}"
405280490,00000021520186070008,2018-01-23,{12549},"{11778}"
405280520,00001880920176070999,2017-06-14,{12559},"{11778}"
405280547,00000176320186070014,2018-03-27,{12549},"{11778}"
405280564,00000027320186070021,2018-01-17,{12549},"{11778}"
405280618,06000246320196070016,2019-10-22,{241},"{11778}"
405280732,00000045820186070016,2018-02-15,{12549},"{11778}"
405280739,00000094920196070015,2018-10-07,{279},"{11513}"
405280808,06000133120196070017,2019-09-30,{241},"{11778}"
405280809,00000209620196070009,2019-04-25,{12559},"{11778}"
405280825,00000017220196070015,2019-01-08,{1298},"{11778}"
405280881,00000524920196070091,2019-06-04,{12553},"{11778}"
405280885,00000121620196070011,2019-06-13,{12549},"{11778}"
405280900,00000021620176070019,2017-01-11,{12559},"{11778}"
405281009,06000063920196070017,2019-08-23,{241},"{11778}"
405281037,00000025420186070092,2018-01-05,{12549},"{11778}"
405281186,00000043920196070011,2019-02-21,{12549},"{11778}"
405281239,00000285520186070091,2018-04-16,{12553},"{11778}"
405281273,06000116120196070017,2019-09-12,{241},"{11778}"
405281374,00000054620186070015,2018-01-24,{279},"{11438}"
405281510,00000022320196070091,2019-01-09,{12553},"{11778}"
405281620,00000035720196070010,2019-02-05,{12549},"{11778}"
405281678,06000176820196070017,2019-10-04,{241},"{11778}"
405281827,00000079220176070001,2017-02-10,{12549},"{11778}"
405281854,00000227520196070006,2019-04-10,{279},"{11778}"
405282115,06000404220226070006,2022-09-28,{12553},"{11778}"
405282176,06001115120216070015,2021-09-30,{355},"{11778}"
405282211,06000264220196070013,2019-12-09,{11541},"{11778}"
405282309,06000176320226070017,2022-05-23,{261},"{11778}"
405282315,06000317420226070008,2022-05-31,{12560},"{11778}"
405282316,06001131320216070050,2021-06-14,{12553},"{11778}"
405282318,06000156220206070050,2020-02-12,{12553},"{11778}"
405282324,06000563920216070003,2021-10-05,{12560},"{11778}"
405282332,06001045120216070050,2021-06-14,{12553},"{11778}"
405282333,06000297120226070019,2022-06-07,{12553},"{11778}"
405282442,06000192420226070020,2022-06-07,{12553},"{11778}"
405282446,06000734120226070003,2022-12-01,{12552},"{11778}"
405282605,06000086420236070018,2023-02-08,{279},"{11778}"
405282693,00000293120196070018,2019-04-10,{12549},"{11778}"
405282762,06000309520226070006,2022-06-23,{12553},"{11778}"
405282809,06000682520226070001,2022-05-12,{1727},"{3555}"
405282830,06000791220226070015,2022-09-20,{12553},"{11778}"
405282836,06000579120216070013,2021-09-15,{12560},"{11778}"
405282867,06000681920226070003,2022-11-18,{12552},"{11778}"
405282940,06001721520226000000,2022-04-27,{12552},"{11778}"
405282997,00000151820176070018,2017-03-20,{12549},"{11778}"
405283089,06001356120206070000,2021-08-22,{1307},"{11778}"
405283109,06000715420216070020,2021-05-20,{12557},"{11778}"
405283124,06000038520226070015,2022-02-18,{12553},"{11778}"
405283273,00000110520176070010,2017-05-08,{279},"{11778}"
405283300,00000108520156070011,2015-05-12,{11541},"{}"
405283316,06001035120236070000,2023-03-09,{12553},"{11778}"
405283319,06000544120226070001,2022-05-12,{279},"{}"
405283386,06000411120236070000,2023-02-08,{12553},"{11778}"
405283460,06000360520226070006,2022-09-28,{12553},"{11778}"
405283536,00000027820196070008,2019-01-16,{11528},"{11778}"
405283687,06000106920206070008,2020-06-24,{12377},"{11778}"
405283829,06000185120226070016,2022-08-31,{12553},"{11778}"
405283835,06001736820236070000,2023-03-31,{261},"{11778}"
405283843,06000601720236070000,2023-02-06,{261},"{11778}"
405283844,06002013620236070000,2023-04-24,{261},"{11778}"
405283895,00000148820166070011,2016-06-28,{1116},"{11778}"
405283971,06001125720236070050,2023-03-15,{12553},"{11778}"
405283974,06000264920226070009,2022-06-10,{355},"{11778}"
405284125,06002622320226000000,2022-05-23,{12552},"{11778}"
405284261,06011405020226070000,2022-08-12,{11532},"{11778}"
405284406,06001903620226000000,2022-04-27,{12552},"{11778}"
405284474,06000857420236070050,2023-03-14,{12553},"{11778}"
405284552,06000307320196070015,2019-10-25,{11528},"{11778}"
405284656,06001156220236070001,2023-03-05,{1727},"{3628}"
405285395,06012548620226070000,2022-08-13,{11532},"{11778}"
405285510,06014895320226070000,2022-09-06,{11541},"{11778}"
405285524,06032502220226070000,2022-10-30,{12561},"{11778}"
405285740,06012972320226070000,2022-08-15,{11532},"{11778}"
405285744,06002630820226000000,2022-05-19,{12552},"{11778}"
405285766,06018689120226070000,2022-09-13,{12193},"{11778}"
405285970,06006372920226070000,2022-08-08,{11532},"{11778}"
405286044,06008711120226070000,2022-08-10,{11532},"{11778}"
405286187,06017866020226070000,2022-09-12,{11532},"{11778}"
405286296,06013994520226070000,2022-08-15,{11532},"{11778}"
405286372,06000040620226070004,2022-03-10,{12559},"{11778}"
405286408,06012781720226070000,2022-08-13,{11532},"{11778}"
405286786,06006364420226070000,2022-08-08,{11532},"{11778}"
405286798,06017926720226070000,2022-09-12,{12193},"{11778}"
405286851,06009707820226070000,2022-08-12,{11532},"{11778}"
405286852,06026430920226070000,2022-10-03,{12561},"{11778}"
405286853,06006615720226070000,2022-08-08,{11532},"{11778}"
405286865,06014124420226070000,2022-08-19,{11532},"{11778}"
405286893,06008036120226070000,2022-08-09,{11532},"{11778}"
405287084,06017883020226070000,2022-09-12,{12561},"{11778}"
405287294,06001064520196070000,2019-03-21,{11548},"{11778}"
405287474,06003731720196070000,2019-12-18,{1338},"{11778}"
405287548,06003498620196070000,2019-11-05,{1338},"{11778}"
405287566,06019324320186070000,2018-09-12,{11531},"{11778}"
405287598,06000232320196070002,2019-11-27,{12552},"{11778}"
405287640,06000585220206070000,2020-06-05,{12553},"{11778}"
405287657,06002095220196070000,2019-05-17,{1307},"{11778}"
405287692,06020675520186070000,2018-09-12,{11531},"{11778}"
405287742,06027880720186070000,2018-09-17,{11531},"{11778}"
405287760,06025334920186070000,2018-09-14,{11531},"{11778}"
405287767,06000168020196070018,2019-11-11,{12559},"{11778}"
405287768,06003082220196070000,2019-08-28,{1338},"{11778}"
405287775,06002086720196070000,2019-05-17,{1307},"{11778}"
405287792,06003429420196070000,2019-10-24,{279},"{11778}"
405287794,06026902220186070000,2018-09-14,{11531},"{11778}"
405287812,06000824620216070000,2021-07-01,{12377},"{11778}"
405287815,06002866120196070000,2019-07-30,{12559},"{11778}"
405287864,06031146420186070000,2018-11-21,{12193},"{11778}"
405287868,06001047520196070000,2019-03-21,{11548},"{11778}"
405287884,06019168920186070000,2018-09-12,{11531},"{}"
405287934,06002009020196070000,2019-05-17,{1307},"{11778}"
405287942,06028123520186070000,2018-09-17,{11531},"{}"
405287993,06021827620186070000,2018-09-13,{11531},"{11778}"
405288002,06000091120206070000,2020-01-31,{1338},"{11778}"
405288020,06003714720196070000,2019-12-17,{120},"{11778}"
405288030,06027222720186070000,2018-09-14,{11531},"{11778}"
405288033,06028617620186070000,2018-09-20,{11531},"{11778}"
405288035,06018691820186070000,2018-09-11,{11531},"{11778}"
405288066,06020943820186070000,2018-09-13,{11531},"{11778}"
405288074,06017453520186070000,2018-09-10,{11531},"{11778}"
405288075,06001942020186070000,2018-04-30,{11531},"{11778}"
405288082,06017176720186070000,2018-09-09,{11531},"{11778}"
405288090,00000571120196070014,2021-05-27,{1343},"{11778}"
405288093,06003117420196070000,2019-09-02,{12552},"{11778}"
405288094,06020294320186070000,2018-09-12,{11531},"{11778}"
405288105,06024859020186070000,2018-09-14,{11531},"{11778}"
405288106,06001483120186070000,2018-04-04,{11541},"{11778}"
405288123,06019229620186070000,2018-09-12,{11531},"{11778}"
405288125,06001587520186070000,2018-04-11,{1298},"{11778}"
405288139,06029717520186070000,2018-10-03,{11531},"{11778}"
405288147,06019584120186070000,2018-09-12,{11531},"{11778}"
405288154,06020631820186070000,2018-09-12,{11531},"{11778}"
405288156,06030912120186070000,2018-11-09,{11531},"{11778}"
405288162,06003576320196070000,2019-11-13,{279},"{11778}"
405288169,06002808820186070000,2018-07-10,{1338},"{11778}"
405288173,06002080420186070000,2018-04-30,{11531},"{11778}"
405288178,06000280820206070003,2020-11-25,{12552},"{11778}"
405288197,06019368020186070000,2018-09-12,{11531},"{11778}"
405288201,06026859720186070000,2018-09-14,{11531},"{}"
405288215,06001863820216070000,2021-11-04,{12553},"{11778}"
405288217,06018796220186070000,2018-09-11,{11531},"{11778}"
405288235,06026650920186070000,2018-09-14,{11531},"{}"
405288254,06021524120186070000,2018-09-13,{11531},"{11778}"
405288258,06027084320186070000,2018-09-14,{11531},"{11778}"
405288260,06019073020186070000,2018-09-11,{11531},"{11778}"
405288290,06023706920186070000,2018-09-13,{11531},"{11778}"
405288296,06022580320186070000,2018-09-13,{11531},"{}"
405288299,06020398720186070000,2018-09-12,{11531},"{11778}"
405288313,06024538520186070000,2018-09-14,{11531},"{11778}"
405288320,06030999520186070000,2018-11-12,{11531},"{11778}"
405288373,06032202620186070000,2018-12-17,{11531},"{11778}"
405288383,06032177120186070000,2018-12-13,{11531},"{11778}"
405288396,06019272120186070000,2018-09-12,{11531},"{11778}"
405288400,06020009020186070000,2018-09-12,{11531},"{11778}"
405288406,06019341320186070000,2018-09-12,{11531},"{11778}"
405288408,06017289620186070000,2018-09-10,{11531},"{11778}"
405288426,06026070620186070000,2018-09-14,{11531},"{11778}"
405288446,06026321920186070000,2018-09-14,{11531},"{11778}"
405288448,06019185920186070000,2018-09-12,{11531},"{11778}"
405288453,06024997420186070000,2018-09-14,{11531},"{11778}"
405288464,06002078220196070000,2019-05-17,{1307},"{11778}"
405288467,06025309420186070000,2018-09-14,{11531},"{11778}"
405288468,06022182120186070000,2018-09-13,{11531},"{11778}"
405288470,06020441220186070000,2018-09-12,{11531},"{11778}"
405288490,06019255120186070000,2018-09-12,{11531},"{11778}"
405288491,06018657820186070000,2018-09-11,{11531},"{11778}"
405288494,06031345520186070000,2018-11-23,{11531},"{11778}"
405288498,06026928920186070000,2018-09-14,{11531},"{11778}"
405288504,06002739620186070000,2018-07-05,{11531},"{11778}"
405288513,06027647620186070000,2018-09-17,{11531},"{11778}"
405288522,06025395620186070000,2018-09-14,{11531},"{11778}"
405288545,06017661120186070000,2018-09-11,{11531},"{11778}"
405288566,06017627120186070000,2018-09-11,{11531},"{11778}"
405288576,06025733120186070000,2018-09-14,{11531},"{11778}"
405288585,06020017520186070000,2018-09-12,{11531},"{11778}"
405288589,06020199620186070000,2018-09-12,{11531},"{11778}"
405288595,06019506420186070000,2018-09-12,{11531},"{11778}"
405288606,06028192720186070000,2018-09-18,{11531},"{11778}"
405288615,06022286520186070000,2018-09-13,{11531},"{11778}"
405288641,06020935320186070000,2018-09-13,{11531},"{11778}"
405288652,06018882420186070000,2018-09-11,{11531},"{11778}"
405288677,06000854020176070000,2017-07-27,{11531},"{11778}"
405288686,00001370220156070018,2015-06-12,{11548},"{11701}"
405288710,06031431720186070000,2018-11-26,{11531},"{11778}"
405288715,06026686120186070000,2018-09-14,{11531},"{11778}"
405288719,06014271320226070000,2022-08-23,{11551},"{11778}"
405288727,06024044420186070000,2018-09-13,{11531},"{}"
405288728,00000364820176070000,2017-10-05,{1727},"{11778}"
405288737,06017488720186070000,2018-09-10,{11531},"{11778}"
405288739,00000800420166070000,2016-05-13,{12377},"{}"
405288749,06000187520176070000,2017-04-20,{11531},"{11778}"
405288764,06000611220176070000,2017-05-16,{11536},"{11778}"
405288767,06018069020186070000,2018-09-11,{11531},"{11778}"
